abbreviation,count,percent_of_full,percent_of_total,config,,SVO_SOV_diff_full,SVO_SOV_diff_total,sentences_>1 triplets
SVO,345,61.39,15.23,de_qwen_5contexts_top,,34.17,8.48,8.59%
SOV,153,27.22,6.75,de_qwen_5contexts_top,,,,
VSO,45,8.01,1.99,de_qwen_5contexts_top,,,,
VOS,6,1.07,0.26,de_qwen_5contexts_top,,,,
OSV,8,1.42,0.35,de_qwen_5contexts_top,,,,
OVS,5,0.89,0.22,de_qwen_5contexts_top,,,,
SVO,357,59.4,15.49,de_qwen_5contexts_revert,,29.78,7.77,8.96%
SOV,178,29.62,7.72,de_qwen_5contexts_revert,,,,
VSO,49,8.15,2.13,de_qwen_5contexts_revert,,,,
VOS,7,1.16,0.3,de_qwen_5contexts_revert,,,,
OSV,6,1,0.26,de_qwen_5contexts_revert,,,,
OVS,4,0.67,0.17,de_qwen_5contexts_revert,,,,
SVO,349,57.97,15.1,de_qwen_5contexts_centered,,29.56,7.7,9.54%
SOV,171,28.41,7.4,de_qwen_5contexts_centered,,,,
VSO,56,9.3,2.42,de_qwen_5contexts_centered,,,,
VOS,7,1.16,0.3,de_qwen_5contexts_centered,,,,
OSV,13,2.16,0.56,de_qwen_5contexts_centered,,,,
OVS,6,1,0.26,de_qwen_5contexts_centered,,,,
SVO,424,60.31,18.01,de_llama_5contexts_top,,26.88,8.03,13.56%
SOV,235,33.43,9.98,de_llama_5contexts_top,,,,
VSO,22,3.13,0.93,de_llama_5contexts_top,,,,
VOS,7,1,0.3,de_llama_5contexts_top,,,,
OSV,10,1.42,0.42,de_llama_5contexts_top,,,,
OVS,5,0.71,0.21,de_llama_5contexts_top,,,,
SVO,369,67.46,16.31,de_llama_5contexts_revert,,40.04,9.68,10.88%
SOV,150,27.42,6.63,de_llama_5contexts_revert,,,,
VSO,13,2.38,0.57,de_llama_5contexts_revert,,,,
VOS,1,0.18,0.04,de_llama_5contexts_revert,,,,
OSV,11,2.01,0.49,de_llama_5contexts_revert,,,,
OVS,3,0.55,0.13,de_llama_5contexts_revert,,,,
SVO,384,62.95,16.75,de_llama_5contexts_centered,,32.13,8.55,12.13%
SOV,188,30.82,8.2,de_llama_5contexts_centered,,,,
VSO,17,2.79,0.74,de_llama_5contexts_centered,,,,
VOS,5,0.82,0.22,de_llama_5contexts_centered,,,,
OSV,9,1.48,0.39,de_llama_5contexts_centered,,,,
OVS,7,1.15,0.31,de_llama_5contexts_centered,,,,
