abbreviation,count,percent_of_full,percent_of_total,config,sentences_>1 triplets,,,
SVO,7,2.34,0.34,hi_qwen_5contexts_top,7.66%,,,
SOV,281,93.98,13.59,hi_qwen_5contexts_top,,,,
OSV,10,3.34,0.48,hi_qwen_5contexts_top,,,,
OVS,1,0.33,0.05,hi_qwen_5contexts_top,,,,
SVO,9,2.96,0.43,hi_qwen_5contexts_revert,6.69%,,,
SOV,279,91.78,13.43,hi_qwen_5contexts_revert,,,,
OSV,16,5.26,0.77,hi_qwen_5contexts_revert,,,,
SVO,12,4.15,0.58,hi_qwen_5contexts_centered,6.30%,,,
SOV,263,91,12.76,hi_qwen_5contexts_centered,,,,
OSV,13,4.5,0.63,hi_qwen_5contexts_centered,,,,
OVS,1,0.35,0.05,hi_qwen_5contexts_centered,,,,
SVO,23,5.39,1.1,hi_llama_5contexts_top,10.99%,,,
SOV,378,88.52,18.09,hi_llama_5contexts_top,,,,
OSV,26,6.09,1.24,hi_llama_5contexts_top,,,,
SVO,16,4.75,0.78,hi_llama_5contexts_revert,9.15%,,, 
SOV,298,88.43,14.46,hi_llama_5contexts_revert,,,,
OSV,21,6.23,1.02,hi_llama_5contexts_revert,,,,
OVS,2,0.59,0.1,hi_llama_5contexts_revert,,,,
SVO,20,5.12,0.96,hi_llama_5contexts_centered,9.69%,,,
SOV,346,88.49,16.65,hi_llama_5contexts_centered,,,,
OSV,24,6.14,1.15,hi_llama_5contexts_centered,,,,
OVS,1,0.26,0.05,hi_llama_5contexts_centered,,,,
